environment,model,axis,point,ci_lo,ci_hi,ci_width,n_resamples
T1 Bargaining,Claude Opus 4.7,frame,0.06555555555555556,0.05241354203261232,0.07982885268945773,0.02741531065684541,1000
T1 Bargaining,Claude Opus 4.7,incentive,0.15916666666666668,0.13595880292094045,0.18327702702702703,0.047318224106086576,1000
T1 Bargaining,Claude Opus 4.7,difficulty,-0.01416666666666666,-0.037813527166839465,0.006761375774407177,0.04457490294124664,1000
T1 Bargaining,GPT-5.5,frame,0.16111111111111112,0.1445225819293199,0.1781288188581233,0.03360623692880338,1000
T1 Bargaining,GPT-5.5,incentive,0.3408333333333333,0.31446677323589856,0.365359952120383,0.05089317888448447,1000
T1 Bargaining,GPT-5.5,difficulty,0.053333333333333344,0.016524603733906074,0.0903546236976639,0.07383001996375782,1000
T1 Bargaining,Gemini 3.1 Pro,frame,0.12250000000000001,0.1060272215994168,0.13973808062205853,0.03371085902264173,1000
T1 Bargaining,Gemini 3.1 Pro,incentive,0.3966666666666667,0.3716442953020134,0.4203757952036377,0.04873149990162429,1000
T1 Bargaining,Gemini 3.1 Pro,difficulty,0.0325,-0.003243707512000177,0.06876093841153427,0.07200464592353445,1000
T1 Bargaining,Grok 4,frame,0.13833333333333334,0.12162529550827424,0.1549097836533156,0.033284488145041355,1000
T1 Bargaining,Grok 4,incentive,0.2375,0.2132674725941332,0.2601609390768577,0.04689346648272452,1000
T1 Bargaining,Grok 4,difficulty,0.0725,0.04033254101416851,0.10351996053697898,0.06318741952281047,1000
T1 Bargaining,Llama 3.3 70B,frame,0.07694444444444444,0.0664210683448433,0.08731307477009195,0.020892006425248646,1000
T1 Bargaining,Llama 3.3 70B,incentive,0.021666666666666667,0.002542329791020488,0.04250565437985207,0.03996332458883158,1000
T1 Bargaining,Llama 3.3 70B,difficulty,0.0,-0.019114759110525757,0.019135246858019136,0.038250005968544894,1000
T1 Bargaining,DeepSeek V4 Pro,frame,0.10608007448789572,0.09004903618906127,0.12352942024971729,0.033480384060656024,1000
T1 Bargaining,DeepSeek V4 Pro,incentive,0.34615384615384615,0.3228476821192053,0.36927480916030536,0.04642712704110008,1000
T1 Bargaining,DeepSeek V4 Pro,difficulty,0.028887959866220725,-0.006965903734352907,0.06392950676560454,0.07089541049995744,1000
T2 Debate,Claude Opus 4.7,frame,0.000692173913043477,-0.00893954690997677,0.010515375637625104,0.019454922547601873,1000
T2 Debate,Claude Opus 4.7,incentive,-0.0027893478260869603,-0.01889527108889899,0.012162392475573006,0.031057663564471996,1000
T2 Debate,Claude Opus 4.7,difficulty,0.01100053571428572,-0.006559431086346476,0.02913223684210526,0.035691667928451735,1000
T2 Debate,GPT-5.5,frame,-0.0020362318840579678,-0.010741725518841718,0.00655508448578585,0.01729681000462757,1000
T2 Debate,GPT-5.5,incentive,-0.010804347826086955,-0.025824397692249874,0.004706264161370544,0.030530661853620418,1000
