model,bargaining,committee,debate,sales,village,__total__
Gemini-3.1-Pro,900,180,690,225,90,2085
GPT-5.5,900,180,690,225,89,2084
Claude-Opus-4.7,900,179,690,225,90,2084
gpt54mini,900,180,690,225,89,2084
Llama-3.3-70B,900,180,690,225,87,2082
Grok-4,900,176,690,225,90,2081
gpt54nano,900,180,690,225,85,2080
DeepSeek-V4-Pro,899,180,690,225,83,2077
gpt41nano,900,179,472,225,88,1864
gpt41,900,178,178,225,89,1570
gpt41mini,900,125,0,225,89,1339
haiku35,900,180,0,225,0,1305
haiku45,900,180,0,225,0,1305
sonnet46,900,180,0,225,0,1305
sonnet37,900,167,0,225,0,1292
