task,axis,min_level,min,max_level,max,spread
bargaining,frame,prohibitive,0.0219,permissive,0.4363,0.4144
committee,frame,prohibitive,0.3829,permissive,0.7799,0.397
debate,frame,minimal,0.2069,pro_social,0.2295,0.0225
sales,frame,prohibitive,0.1585,permissive,0.357,0.1985
village,frame,prohibitive,0.2792,permissive,0.9101,0.6309
bargaining,incentive,high,0.0956,none,0.4234,0.3279
committee,incentive,none,0.5503,high,0.635,0.0847
debate,incentive,none,0.2034,moderate,0.2276,0.0242
sales,incentive,none,0.2356,high,0.2613,0.0258
village,incentive,none,0.4876,high,0.6335,0.146
bargaining,difficulty,low,0.2127,high,0.2656,0.0529
committee,difficulty,high,0.2579,low,0.9576,0.6997
debate,difficulty,high,0.1728,low,0.2593,0.0865
sales,difficulty,low,0.0196,high,0.5049,0.4853
village,difficulty,low,0.5392,medium,0.5772,0.038
