model,prohibitive,pro_social,minimal,selfish,permissive
Gemini-3.1-Pro,-0.3625,0.1992,0.1497,0.1177,-0.1041
gpt54mini,-0.2403,0.0992,0.1053,0.1288,-0.093
gpt54nano,-0.2209,0.0214,0.1247,0.1483,-0.0735
GPT-5.5,-0.2103,0.0639,-0.0411,0.2047,-0.0171
Grok-4,0.0041,-0.1008,-0.0392,0.1511,-0.0152
DeepSeek-V4-Pro,0.1716,-0.0183,-0.1634,-0.0311,0.0412
Claude-Opus-4.7,0.0041,-0.3786,0.183,0.0955,0.0959
gpt41,0.0819,0.0881,-0.0725,-0.2712,0.1737
Llama-3.3-70B,0.4888,-0.0605,-0.2211,-0.3989,0.1918
gpt41mini,0.0819,-0.0786,-0.0725,-0.2712,0.3404
gpt41nano,0.2015,0.1652,0.0471,0.1262,-0.54
