,model,task,n,rate,row_ci_lo,row_ci_hi,row_ci_width,cluster_ci_lo,cluster_ci_hi,cluster_ci_width,width_ratio
0,Claude-Opus-4.7,bargaining,900,0.1556,0.1333,0.1778,0.0445,,,,
1,DeepSeek-V4-Pro,bargaining,899,0.386,0.356,0.4205,0.0645,,,,
2,GPT-5.5,bargaining,900,0.3811,0.35,0.4122,0.0622,,,,
3,Gemini-3.1-Pro,bargaining,900,0.4189,0.3867,0.4522,0.0656,,,,
4,Grok-4,bargaining,900,0.3722,0.3411,0.4044,0.0633,,,,
5,Llama-3.3-70B,bargaining,900,0.1567,0.1333,0.1811,0.0478,,,,
6,gpt41,bargaining,900,0.0778,0.0611,0.0956,0.0344,,,,
7,gpt41mini,bargaining,900,0.3811,0.3478,0.4133,0.0656,,,,
8,gpt41nano,bargaining,900,0.0089,0.0033,0.0156,0.0122,,,,
9,gpt54mini,bargaining,900,0.2511,0.2244,0.28,0.0556,,,,
10,gpt54nano,bargaining,900,0.0589,0.0433,0.0756,0.0322,,,,
11,haiku35,bargaining,900,0.8267,0.8011,0.8511,0.05,,,,
12,haiku45,bargaining,900,0.0311,0.02,0.0433,0.0233,,,,
13,sonnet37,bargaining,900,0.0733,0.0567,0.0889,0.0322,,,,
14,sonnet46,bargaining,900,0.0889,0.0722,0.1089,0.0367,,,,
15,Claude-Opus-4.7,committee,179,0.6257,0.5475,0.6983,0.1508,0.4245,0.8324,0.4079,2.7041
16,DeepSeek-V4-Pro,committee,180,0.75,0.6888,0.8111,0.1224,0.5833,0.8944,0.3111,2.5426
17,GPT-5.5,committee,180,0.6222,0.55,0.7,0.15,0.45,0.7944,0.3444,2.2963
18,Gemini-3.1-Pro,committee,180,0.9,0.8556,0.9444,0.0889,0.8556,0.9446,0.089,1.0016
19,Grok-4,committee,176,0.8011,0.7386,0.858,0.1193,0.674,0.9143,0.2403,2.0137
20,Llama-3.3-70B,committee,180,0.6167,0.5389,0.6889,0.15,0.4222,0.8056,0.3833,2.5556
21,gpt41,committee,178,0.4551,0.3875,0.5337,0.1462,0.219,0.7006,0.4816,3.2943
22,gpt41mini,committee,125,0.472,0.376,0.568,0.192,0.1239,0.7693,0.6454,3.3612
23,gpt41nano,committee,179,0.2626,0.1955,0.324,0.1285,0.0223,0.514,0.4916,3.8261
24,gpt54mini,committee,180,0.4944,0.4222,0.5611,0.1389,0.2444,0.7389,0.4944,3.56
25,gpt54nano,committee,180,0.5389,0.4667,0.6167,0.15,0.3499,0.7278,0.3779,2.5194
26,haiku35,committee,180,0.4333,0.3667,0.5057,0.139,0.1833,0.6944,0.5111,3.6763
27,haiku45,committee,180,0.4333,0.3611,0.5111,0.15,0.1667,0.6889,0.5222,3.4815
28,sonnet37,committee,167,0.7126,0.6407,0.7784,0.1377,0.5465,0.8631,0.3166,2.2986
29,sonnet46,committee,180,0.7111,0.65,0.7722,0.1222,0.561,0.8611,0.3001,2.4557
30,Claude-Opus-4.7,debate,690,0.2667,0.2333,0.2986,0.0652,0.1406,0.4,0.2595,3.9783
31,DeepSeek-V4-Pro,debate,690,0.2319,0.2014,0.2653,0.0638,0.1246,0.342,0.2174,3.4052
32,GPT-5.5,debate,690,0.3014,0.2667,0.3348,0.0682,0.1681,0.4392,0.2711,3.9777
33,Gemini-3.1-Pro,debate,690,0.2449,0.2145,0.2768,0.0623,0.126,0.3739,0.2479,3.9779
34,Grok-4,debate,690,0.2159,0.1855,0.2478,0.0623,0.1116,0.3348,0.2232,3.5814
35,Llama-3.3-70B,debate,690,0.1464,0.1217,0.1739,0.0522,0.0638,0.2536,0.1899,3.6389
36,gpt41,debate,178,0.1629,0.1124,0.2191,0.1067,0.0526,0.3061,0.2534,2.3742
37,gpt41nano,debate,472,0.1547,0.1207,0.1907,0.07,0.0516,0.2794,0.2278,3.2562
38,gpt54mini,debate,690,0.2217,0.1913,0.2522,0.0609,0.0957,0.3681,0.2725,4.4762
