,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
0,Claude-Opus-4.7,DeepSeek-V4-Pro,179,0.6257,0.7486,-0.1229,-0.1789,-0.0726,0.0168,0.8436,True
1,Claude-Opus-4.7,GPT-5.5,179,0.6257,0.6257,0.0,-0.0559,0.0559,0.0782,0.8436,False
2,Claude-Opus-4.7,Gemini-3.1-Pro,179,0.6257,0.8994,-0.2737,-0.3408,-0.2067,0.0056,0.7151,True
3,Claude-Opus-4.7,Grok-4,175,0.6286,0.8,-0.1714,-0.2286,-0.1143,0.0057,0.8171,True
4,Claude-Opus-4.7,Llama-3.3-70B,179,0.6257,0.6145,0.0112,-0.0503,0.0672,0.0894,0.8324,False
5,Claude-Opus-4.7,gpt41,177,0.6215,0.4576,0.1638,0.113,0.2203,0.1638,0.8362,True
6,Claude-Opus-4.7,gpt41mini,125,0.688,0.472,0.216,0.144,0.296,0.232,0.752,True
7,Claude-Opus-4.7,gpt41nano,178,0.6292,0.264,0.3652,0.2921,0.4326,0.3652,0.6348,True
8,Claude-Opus-4.7,gpt54mini,179,0.6257,0.4916,0.1341,0.0838,0.1899,0.1397,0.8547,True
9,Claude-Opus-4.7,gpt54nano,179,0.6257,0.5363,0.0894,0.0335,0.1454,0.1229,0.8436,True
10,Claude-Opus-4.7,haiku35,179,0.6257,0.4302,0.1955,0.1341,0.2515,0.1955,0.8045,True
11,Claude-Opus-4.7,haiku45,179,0.6257,0.4302,0.1955,0.1397,0.257,0.2011,0.7933,True
12,Claude-Opus-4.7,sonnet37,166,0.6566,0.7169,-0.0602,-0.1084,-0.012,0.0181,0.9036,True
13,Claude-Opus-4.7,sonnet46,179,0.6257,0.7095,-0.0838,-0.1286,-0.0391,0.0112,0.8939,True
14,DeepSeek-V4-Pro,GPT-5.5,180,0.75,0.6222,0.1278,0.0722,0.1835,0.1556,0.8167,True
15,DeepSeek-V4-Pro,Gemini-3.1-Pro,180,0.75,0.9,-0.15,-0.2056,-0.0943,0.0111,0.8278,True
16,DeepSeek-V4-Pro,Grok-4,176,0.75,0.8011,-0.0511,-0.0966,0.0,0.0284,0.892,False
17,DeepSeek-V4-Pro,Llama-3.3-70B,180,0.75,0.6167,0.1333,0.0667,0.2056,0.1889,0.7556,True
18,DeepSeek-V4-Pro,gpt41,178,0.7472,0.4551,0.2921,0.2302,0.3596,0.2921,0.7079,True
19,DeepSeek-V4-Pro,gpt41mini,125,0.8,0.472,0.328,0.2398,0.416,0.336,0.656,True
20,DeepSeek-V4-Pro,gpt41nano,179,0.7486,0.2626,0.486,0.419,0.5532,0.486,0.514,True
21,DeepSeek-V4-Pro,gpt54mini,180,0.75,0.4944,0.2556,0.1943,0.3222,0.2556,0.7444,True
22,DeepSeek-V4-Pro,gpt54nano,180,0.75,0.5389,0.2111,0.1444,0.2722,0.2222,0.7667,True
23,DeepSeek-V4-Pro,haiku35,180,0.75,0.4333,0.3167,0.25,0.3833,0.3167,0.6833,True
24,DeepSeek-V4-Pro,haiku45,180,0.75,0.4333,0.3167,0.25,0.3833,0.3167,0.6833,True
25,DeepSeek-V4-Pro,sonnet37,167,0.7725,0.7126,0.0599,0.006,0.1198,0.1018,0.8563,True
