model,bargaining,committee,debate,inbox,sales,village,__total__
Gemini-3.1-Pro,900,180,690,180,225,90,2265
GPT-5.5,900,180,690,180,225,89,2264
Claude-Opus-4.7,900,179,690,180,225,90,2264
gpt54mini,900,180,690,180,225,89,2264
Llama-3.3-70B,900,180,690,180,225,87,2262
Grok-4,900,176,690,180,225,90,2261
gpt54nano,900,180,690,180,225,85,2260
DeepSeek-V4-Pro,899,180,690,180,225,83,2257
gpt41nano,900,179,472,195,225,88,2059
gpt41,900,178,178,180,225,89,1750
gpt41mini,900,125,0,180,225,89,1519
haiku45,900,180,0,180,225,0,1485
haiku35,900,180,0,160,225,0,1465
sonnet46,900,180,0,0,225,0,1305
sonnet37,900,167,0,0,225,0,1292
