model,bargaining,committee,debate,sales,village,__mean__
haiku35,0.8266666666666667,0.43333333333333335,,0.40444444444444444,,0.5548148148148148
Gemini-3.1-Pro,0.41888888888888887,0.9,0.24492753623188407,0.3511111111111111,0.7555555555555555,0.534096618357488
Grok-4,0.37222222222222223,0.8011363636363636,0.21594202898550724,0.2,0.6666666666666666,0.4511934563021519
DeepSeek-V4-Pro,0.38598442714126807,0.75,0.2318840579710145,0.27555555555555555,0.6024096385542169,0.44916673584441097
GPT-5.5,0.3811111111111111,0.6222222222222222,0.30144927536231886,0.13333333333333333,0.6741573033707865,0.42245464907995445
sonnet37,0.07333333333333333,0.7125748502994012,,0.36444444444444446,,0.3834508760257263
sonnet46,0.08888888888888889,0.7111111111111111,,0.3422222222222222,,0.38074074074074077
gpt54mini,0.2511111111111111,0.49444444444444446,0.2217391304347826,0.17333333333333334,0.7415730337078652,0.37644021060630733
Claude-Opus-4.7,0.15555555555555556,0.6256983240223464,0.26666666666666666,0.16,0.5555555555555556,0.3526952203600248
Llama-3.3-70B,0.15666666666666668,0.6166666666666667,0.1463768115942029,0.36,0.45977011494252873,0.34789605197401297
gpt41mini,0.3811111111111111,0.472,,0.2,0.30337078651685395,0.3391204744069913
gpt54nano,0.058888888888888886,0.5388888888888889,0.1753623188405797,0.14222222222222222,0.7176470588235294,0.32660187553282183
gpt41,0.07777777777777778,0.4550561797752809,0.16292134831460675,0.16444444444444445,0.47191011235955055,0.2664219725343321
haiku45,0.03111111111111111,0.43333333333333335,,0.20444444444444446,,0.22296296296296295
gpt41nano,0.008888888888888889,0.26256983240223464,0.15466101694915255,0.3111111111111111,0.19318181818181818,0.18608253350664108
