model,low,medium,high
haiku35,0.0185,-0.0308,0.0122
Gemini-3.1-Pro,-0.0337,0.037,-0.0033
DeepSeek-V4-Pro,-0.0308,0.0466,-0.0158
gpt41mini,0.0241,-0.0452,0.0211
GPT-5.5,-0.0426,0.0081,0.0345
Grok-4,-0.067,0.0003,0.0667
gpt54mini,-0.0159,0.0248,-0.0089
Llama-3.3-70B,0.0185,-0.0175,-0.0011
Claude-Opus-4.7,0.0163,-0.0063,-0.01
sonnet46,0.0063,0.0103,-0.0167
gpt41,0.0174,-0.0086,-0.0089
sonnet37,0.0019,0.0059,-0.0078
gpt54nano,0.0163,0.007,-0.0233
haiku45,0.0274,-0.0152,-0.0122
gpt41nano,0.043,-0.0163,-0.0267
