model,prohibitive,pro_social,minimal,selfish,permissive
haiku35,0.3222,0.9944,0.9778,0.9278,0.9111
Gemini-3.1-Pro,0.0,0.4333,0.5056,0.5944,0.5611
DeepSeek-V4-Pro,0.0,0.4056,0.4722,0.5251,0.5278
gpt41mini,0.0056,0.4056,0.3056,0.3722,0.8167
GPT-5.5,0.0,0.25,0.4278,0.6222,0.6056
Grok-4,0.0,0.3,0.3889,0.5722,0.6
gpt54mini,0.0,0.2556,0.2722,0.3611,0.3667
Llama-3.3-70B,0.0,0.0833,0.0222,0.0667,0.6111
Claude-Opus-4.7,0.0,0.1333,0.0833,0.1889,0.3722
sonnet46,0.0,0.0222,0.0167,0.1056,0.3
gpt41,0.0,0.0333,0.0167,0.05,0.2889
sonnet37,0.0,0.0389,0.0056,0.0389,0.2833
gpt54nano,0.0,0.0333,0.0167,0.0889,0.1556
haiku45,0.0,0.0056,0.0056,0.0167,0.1278
gpt41nano,0.0,0.0056,0.0,0.0222,0.0167
