model,prohibitive,pro_social,minimal,selfish,permissive
haiku35,-0.2817,0.1857,0.1612,0.0421,-0.1073
Gemini-3.1-Pro,-0.1962,0.0323,0.0968,0.1166,-0.0495
DeepSeek-V4-Pro,-0.1634,0.0373,0.0962,0.08,-0.0501
gpt41mini,-0.1528,0.0423,-0.0654,-0.0679,0.2438
GPT-5.5,-0.1584,-0.1132,0.0568,0.1821,0.0327
Grok-4,-0.1495,-0.0543,0.0268,0.141,0.036
gpt54mini,-0.0284,0.0223,0.0312,0.051,-0.0762
Llama-3.3-70B,0.066,-0.0554,-0.1243,-0.149,0.2627
Claude-Opus-4.7,0.0672,-0.0043,-0.0621,-0.0256,0.0249
sonnet46,0.1338,-0.0488,-0.0621,-0.0423,0.0194
gpt41,0.1449,-0.0266,-0.051,-0.0867,0.0194
sonnet37,0.1494,-0.0166,-0.0577,-0.0934,0.0183
gpt54nano,0.1638,-0.0077,-0.0321,-0.029,-0.0951
haiku45,0.1916,-0.0077,-0.0154,-0.0734,-0.0951
gpt41nano,0.2138,0.0146,0.0012,-0.0456,-0.184
