model,none,moderate,high
haiku35,-0.1589,-0.0001,0.159
Gemini-3.1-Pro,0.2022,0.0577,-0.2599
DeepSeek-V4-Pro,0.1939,0.0435,-0.2374
gpt41mini,-0.12,-0.0179,0.1379
GPT-5.5,0.16,0.0688,-0.2288
Grok-4,0.0855,0.1344,-0.2199
gpt54mini,0.2766,-0.1745,-0.1021
Llama-3.3-70B,-0.1556,0.0199,0.1357
Claude-Opus-4.7,0.0889,-0.0856,-0.0032
sonnet46,-0.0111,-0.049,0.0601
gpt41,-0.0367,-0.0412,0.0779
sonnet37,-0.1389,0.0132,0.1257
gpt54nano,-0.0811,-0.009,0.0901
haiku45,-0.1334,0.0088,0.1246
gpt41nano,-0.1711,0.031,0.1401
