model,low,medium,high
Gemini-3.1-Pro,-0.2523,-0.0147,0.267
Grok-4,-0.1655,0.0277,0.1378
DeepSeek-V4-Pro,-0.1323,0.1053,0.027
sonnet46,-0.0894,0.0594,0.03
sonnet37,-0.0733,0.0755,-0.0022
Claude-Opus-4.7,-0.0245,0.1429,-0.1185
Llama-3.3-70B,-0.0242,0.0023,0.0219
GPT-5.5,0.0114,-0.0621,0.0507
gpt54nano,0.0403,-0.0499,0.0096
gpt54mini,0.1195,0.0016,-0.1211
gpt41,0.1653,-0.0637,-0.1016
haiku35,0.1151,-0.0028,-0.1122
haiku45,0.1891,-0.0843,-0.1048
gpt41mini,-0.0386,0.1212,-0.0826
gpt41nano,0.1595,-0.2584,0.0989
