model,prohibitive,pro_social,minimal,selfish,permissive
Gemini-3.1-Pro,0.5,1.0,1.0,1.0,1.0
Grok-4,0.4444,0.8,0.9118,0.8611,1.0
DeepSeek-V4-Pro,0.4722,0.8056,0.8333,0.7222,0.9167
sonnet46,0.3611,0.7222,0.7778,0.6944,1.0
sonnet37,0.4375,0.5882,0.7273,0.7812,1.0
Claude-Opus-4.7,0.3889,0.5714,0.6667,0.5833,0.9167
GPT-5.5,0.3333,0.5556,0.5833,0.6667,0.9722
Llama-3.3-70B,0.3333,0.6389,0.5556,0.6944,0.8611
gpt54nano,0.3333,0.5556,0.4444,0.4722,0.8889
gpt54mini,0.4167,0.4444,0.4722,0.4722,0.6667
gpt41mini,0.44,0.5,0.4615,0.48,0.48
gpt41,0.3333,0.4167,0.4,0.4722,0.6571
haiku35,0.3056,0.4167,0.4167,0.5,0.5278
haiku45,0.4167,0.4167,0.4167,0.4444,0.4722
gpt41nano,0.25,0.25,0.25,0.3143,0.25
