model,prohibitive,pro_social,minimal,selfish,permissive
Gemini-3.1-Pro,-0.196,0.1097,0.094,0.0779,-0.0855
Grok-4,-0.155,0.0062,0.1023,0.0355,0.011
DeepSeek-V4-Pro,-0.0738,0.0652,0.0773,-0.0499,-0.0188
sonnet46,-0.146,0.0208,0.0606,-0.0388,0.1034
sonnet37,-0.0653,-0.109,0.0144,0.0523,0.1076
Claude-Opus-4.7,-0.0325,-0.0443,0.0352,-0.0642,0.1058
GPT-5.5,-0.0849,-0.057,-0.0449,0.0223,0.1645
Llama-3.3-70B,-0.0793,0.0319,-0.0671,0.0556,0.0589
gpt54nano,-0.0015,0.0263,-0.1005,-0.0888,0.1645
gpt54mini,0.1262,-0.0403,-0.0283,-0.0444,-0.0133
gpt41mini,0.1717,0.0373,-0.0168,-0.0144,-0.1778
gpt41,0.0815,-0.0295,-0.0619,-0.0058,0.0158
haiku35,0.0762,-0.007,-0.0227,0.0445,-0.0911
haiku45,0.1874,-0.007,-0.0227,-0.011,-0.1466
gpt41nano,0.1912,-0.0032,-0.0189,0.0293,-0.1984
