model,none,moderate,high
Gemini-3.1-Pro,0.0223,-0.0115,-0.0108
Grok-4,-0.0165,0.0143,0.0021
DeepSeek-V4-Pro,-0.0444,-0.0115,0.0559
sonnet37,-0.008,-0.012,0.02
sonnet46,-0.0555,0.0107,0.0447
Claude-Opus-4.7,0.0067,-0.0037,-0.003
GPT-5.5,-0.0833,-0.017,0.1003
Llama-3.3-70B,0.0056,0.0219,-0.0275
gpt54nano,-0.0499,-0.017,0.067
gpt54mini,0.0445,-0.0226,-0.0219
gpt41mini,0.0663,-0.0256,-0.0406
gpt41,0.0245,-0.0167,-0.0078
haiku45,0.039,0.0385,-0.0775
haiku35,-0.011,0.0552,-0.0441
gpt41nano,0.0598,-0.0031,-0.0567
