model,bargaining,committee,debate,sales,village,__mean__
gpt41mini,0.811,0.04,,0.356,0.889,0.524
Gemini-3.1-Pro,0.561,0.5,-0.029,0.311,0.889,0.446
GPT-5.5,0.606,0.639,0.08,-0.022,0.824,0.425
sonnet46,0.3,0.639,,0.289,,0.409
gpt41,0.289,0.324,,0.267,0.722,0.4
Claude-Opus-4.7,0.372,0.528,0.022,0.289,0.722,0.387
Grok-4,0.6,0.556,-0.043,0.2,0.611,0.385
Llama-3.3-70B,0.611,0.528,0.058,0.356,0.333,0.377
sonnet37,0.283,0.562,,0.244,,0.363
DeepSeek-V4-Pro,0.528,0.444,-0.036,0.267,0.5,0.341
haiku35,0.589,0.222,,0.156,,0.322
gpt54nano,0.156,0.556,-0.022,0.133,0.778,0.32
gpt54mini,0.367,0.25,-0.051,0.089,0.778,0.287
haiku45,0.128,0.056,,0.111,,0.098
gpt41nano,0.017,0.0,,-0.067,-0.111,-0.04
