model,low,medium,high
haiku35,-0.1716,0.0418,0.1298
sonnet37,-0.1316,0.0418,0.0898
Llama-3.3-70B,-0.0471,0.0196,0.0276
Gemini-3.1-Pro,-0.1182,0.0818,0.0364
sonnet46,-0.0827,0.1173,-0.0347
gpt41nano,0.0818,0.0684,-0.1502
DeepSeek-V4-Pro,-0.0293,-0.016,0.0453
haiku45,0.0284,-0.0516,0.0231
gpt41mini,0.0462,0.0196,-0.0658
Grok-4,0.0329,-0.1271,0.0942
gpt54mini,0.0596,-0.0338,-0.0258
gpt41,0.0684,-0.0516,-0.0169
Claude-Opus-4.7,0.0729,-0.1004,0.0276
gpt54nano,0.0907,-0.0827,-0.008
GPT-5.5,0.0996,0.0729,-0.1724
