model,prohibitive,pro_social,minimal,selfish,permissive
haiku35,0.3333,0.4,0.4,0.4,0.4889
sonnet37,0.2222,0.3333,0.4,0.4,0.4667
Llama-3.3-70B,0.1333,0.2667,0.4444,0.4667,0.4889
Gemini-3.1-Pro,0.1778,0.1556,0.4889,0.4444,0.4889
sonnet46,0.1778,0.1778,0.4444,0.4444,0.4667
gpt41nano,0.3556,0.3556,0.2667,0.2889,0.2889
DeepSeek-V4-Pro,0.1556,0.1111,0.3111,0.3778,0.4222
haiku45,0.0667,0.0667,0.3556,0.3556,0.1778
gpt41mini,0.0889,0.1333,0.1333,0.2,0.4444
Grok-4,0.1333,0.1556,0.1556,0.2222,0.3333
gpt54mini,0.1333,0.1111,0.1778,0.2222,0.2222
gpt41,0.0889,0.0889,0.1333,0.1556,0.3556
Claude-Opus-4.7,0.0667,0.0889,0.1333,0.1556,0.3556
gpt54nano,0.0889,0.1111,0.1333,0.1556,0.2222
GPT-5.5,0.1556,0.1111,0.1333,0.1333,0.1333
