model,prohibitive,pro_social,minimal,selfish,permissive
haiku35,0.0228,0.0702,-0.0261,-0.0468,-0.0201
sonnet37,-0.0483,0.0436,0.0139,-0.0068,-0.0024
Llama-3.3-70B,-0.1327,-0.0187,0.0628,0.0643,0.0243
Gemini-3.1-Pro,-0.0794,-0.1209,0.1161,0.051,0.0332
sonnet46,-0.0705,-0.0898,0.0806,0.0599,0.0199
gpt41nano,0.1384,0.1191,-0.0661,-0.0646,-0.1268
DeepSeek-V4-Pro,-0.0261,-0.0898,0.0139,0.0599,0.0421
haiku45,-0.0439,-0.0631,0.1295,0.1087,-0.1313
gpt41mini,-0.0172,0.008,-0.0883,-0.0424,0.1399
Grok-4,0.0273,0.0302,-0.0661,-0.0201,0.0287
gpt54mini,0.0539,0.0124,-0.0172,0.0065,-0.0557
gpt41,0.0184,-0.0009,-0.0527,-0.0513,0.0865
Claude-Opus-4.7,0.0006,0.0036,-0.0483,-0.0468,0.091
gpt54nano,0.0406,0.0436,-0.0305,-0.029,-0.0246
GPT-5.5,0.1161,0.0524,-0.0216,-0.0424,-0.1046
