model,none,moderate,high
haiku35,0.0258,0.0009,-0.0267
sonnet37,0.0124,0.0009,-0.0133
Llama-3.3-70B,-0.0364,0.0053,0.0311
Gemini-3.1-Pro,-0.0276,-0.0124,0.04
sonnet46,0.0213,-0.0169,-0.0044
gpt41nano,-0.0276,0.0009,0.0267
DeepSeek-V4-Pro,-0.0453,0.0098,0.0356
haiku45,0.0124,0.0409,-0.0533
gpt41mini,-0.0364,-0.008,0.0444
Grok-4,0.0036,-0.008,0.0044
gpt54mini,0.0169,0.0053,-0.0222
gpt41,0.0124,-0.0124,0.0
Claude-Opus-4.7,0.0169,0.0053,-0.0222
gpt54nano,0.048,-0.0169,-0.0311
GPT-5.5,0.0036,0.0053,-0.0089
