,model,level,residual,task,axis
36,Llama-3.3-70B,prohibitive,0.4888,village,frame
37,gpt41mini,permissive,0.3404,village,frame
3,gpt54mini,none,0.2766,bargaining,incentive
15,Gemini-3.1-Pro,high,0.267,committee,difficulty
0,Llama-3.3-70B,permissive,0.2627,bargaining,frame
1,gpt41mini,permissive,0.2438,bargaining,frame
2,gpt41nano,prohibitive,0.2138,bargaining,frame
38,GPT-5.5,selfish,0.2047,village,frame
4,Gemini-3.1-Pro,none,0.2022,bargaining,incentive
5,DeepSeek-V4-Pro,none,0.1939,bargaining,incentive
9,gpt41nano,prohibitive,0.1912,committee,frame
16,haiku45,low,0.1891,committee,difficulty
10,haiku45,prohibitive,0.1874,committee,frame
11,gpt41mini,prohibitive,0.1717,committee,frame
17,gpt41,low,0.1653,committee,difficulty
27,gpt41mini,permissive,0.1399,sales,frame
28,gpt41nano,prohibitive,0.1384,sales,frame
33,haiku35,high,0.1298,sales,difficulty
29,haiku45,minimal,0.1295,sales,frame
39,Grok-4,high,0.1255,village,incentive
