model,prohibitive,pro_social,minimal,selfish,permissive
Gemini-3.1-Pro,0.1111,0.8333,0.8333,1.0,1.0
gpt54mini,0.2222,0.7222,0.7778,1.0,1.0
gpt54nano,0.2222,0.625,0.7778,1.0,1.0
GPT-5.5,0.1765,0.6111,0.5556,1.0,1.0
Grok-4,0.3889,0.4444,0.5556,0.9444,1.0
DeepSeek-V4-Pro,0.5,0.4706,0.375,0.7059,1.0
Claude-Opus-4.7,0.2778,0.0556,0.6667,0.7778,1.0
gpt41,0.2778,0.4444,0.3333,0.3333,1.0
Llama-3.3-70B,0.6667,0.2778,0.1667,0.1875,1.0
gpt41mini,0.1111,0.1111,0.1667,0.1667,1.0
gpt41nano,0.1111,0.2353,0.1667,0.4444,0.0
