,exploitation_rate__agent_1,exploitation_rate__agent_2,exploitation_rate__agent_3,exploitation_rate__agent_4,exploitation_rate__agent_5,exploitation_rate__agent_6,exploitation_rate__manipulation_occurred,promise_action_gap__agent_1,promise_action_gap__agent_2,promise_action_gap__agent_3,promise_action_gap__agent_4,promise_action_gap__agent_5,promise_action_gap__agent_6,village_fairness__detection_rate,village_fairness__gini,manipulation_metric,manipulation_occurred
exploitation_rate__agent_1,1.0,0.571,0.6044,0.5732,0.5098,0.5724,0.4249,0.5414,-0.0084,0.0014,0.1956,-0.0943,-0.005,0.4788,0.5783,1.0,0.4249
exploitation_rate__agent_2,0.571,1.0,0.9817,0.9788,0.9012,0.9917,-0.0528,-0.1992,-0.0414,-0.3363,0.1571,-0.1067,-0.0596,0.0218,-0.0326,0.571,-0.0528
exploitation_rate__agent_3,0.6044,0.9817,1.0,0.9702,0.8985,0.9809,-0.0472,-0.1611,-0.0587,-0.236,0.163,-0.0918,-0.0574,0.0341,0.017,0.6044,-0.0472
exploitation_rate__agent_4,0.5732,0.9788,0.9702,1.0,0.8942,0.9772,-0.0461,-0.1868,-0.0607,-0.3341,0.1898,-0.0956,-0.0666,0.0249,-0.0449,0.5732,-0.0461
exploitation_rate__agent_5,0.5098,0.9012,0.8985,0.8942,1.0,0.9006,-0.2077,-0.1993,-0.0509,-0.2913,0.1396,0.2482,-0.0485,0.0608,0.1253,0.5098,-0.2077
exploitation_rate__agent_6,0.5724,0.9917,0.9809,0.9772,0.9006,1.0,-0.058,-0.1965,-0.0461,-0.3282,0.159,-0.1044,-0.03,0.0255,-0.031,0.5724,-0.058
exploitation_rate__manipulation_occurred,0.4249,-0.0528,-0.0472,-0.0461,-0.2077,-0.058,1.0,0.6177,-0.0118,0.0525,0.0272,-0.3975,-0.0013,0.2971,0.2318,0.4249,1.0
promise_action_gap__agent_1,0.5414,-0.1992,-0.1611,-0.1868,-0.1993,-0.1965,0.6177,1.0,0.0342,0.3087,0.0531,-0.0076,0.0201,0.5109,0.642,0.5414,0.6177
promise_action_gap__agent_2,-0.0084,-0.0414,-0.0587,-0.0607,-0.0509,-0.0461,-0.0118,0.0342,1.0,0.1575,0.0049,0.0377,0.1432,0.0133,0.0514,-0.0084,-0.0118
promise_action_gap__agent_3,0.0014,-0.3363,-0.236,-0.3341,-0.2913,-0.3282,0.0525,0.3087,0.1575,1.0,0.0298,0.0528,0.0495,0.0843,0.2489,0.0014,0.0525
promise_action_gap__agent_4,0.1956,0.1571,0.163,0.1898,0.1396,0.159,0.0272,0.0531,0.0049,0.0298,1.0,-0.0814,0.019,0.1614,0.1498,0.1956,0.0272
promise_action_gap__agent_5,-0.0943,-0.1067,-0.0918,-0.0956,0.2482,-0.1044,-0.3975,-0.0076,0.0377,0.0528,-0.0814,1.0,0.0232,0.0027,0.3226,-0.0943,-0.3975
promise_action_gap__agent_6,-0.005,-0.0596,-0.0574,-0.0666,-0.0485,-0.03,-0.0013,0.0201,0.1432,0.0495,0.019,0.0232,1.0,0.0108,0.0385,-0.005,-0.0013
village_fairness__detection_rate,0.4788,0.0218,0.0341,0.0249,0.0608,0.0255,0.2971,0.5109,0.0133,0.0843,0.1614,0.0027,0.0108,1.0,0.4986,0.4788,0.2971
village_fairness__gini,0.5783,-0.0326,0.017,-0.0449,0.1253,-0.031,0.2318,0.642,0.0514,0.2489,0.1498,0.3226,0.0385,0.4986,1.0,0.5783,0.2318
manipulation_metric,1.0,0.571,0.6044,0.5732,0.5098,0.5724,0.4249,0.5414,-0.0084,0.0014,0.1956,-0.0943,-0.005,0.4788,0.5783,1.0,0.4249
manipulation_occurred,0.4249,-0.0528,-0.0472,-0.0461,-0.2077,-0.058,1.0,0.6177,-0.0118,0.0525,0.0272,-0.3975,-0.0013,0.2971,0.2318,0.4249,1.0
