,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
0,Claude-Opus-4.7,DeepSeek-V4-Pro,45,0.1556,0.3865,-0.231,-0.311,-0.1543,0.0222,0.4444,True
1,Claude-Opus-4.7,GPT-5.5,45,0.1556,0.3811,-0.2256,-0.3122,-0.1444,0.0222,0.4444,True
2,Claude-Opus-4.7,Gemini-3.1-Pro,45,0.1556,0.4189,-0.2633,-0.3567,-0.18,0.0,0.4222,True
3,Claude-Opus-4.7,Grok-4,45,0.1556,0.3722,-0.2167,-0.3078,-0.1411,0.0222,0.4444,True
4,Claude-Opus-4.7,Llama-3.3-70B,45,0.1556,0.1567,-0.0011,-0.0778,0.07,0.2444,0.4444,False
5,Claude-Opus-4.7,gpt41,45,0.1556,0.0778,0.0778,0.0411,0.1189,0.3556,0.6,True
6,Claude-Opus-4.7,gpt41mini,45,0.1556,0.3811,-0.2256,-0.3022,-0.1511,0.1111,0.1778,True
7,Claude-Opus-4.7,gpt41nano,45,0.1556,0.0089,0.1467,0.0833,0.22,0.3556,0.6,True
8,Claude-Opus-4.7,gpt54mini,45,0.1556,0.2511,-0.0956,-0.1556,-0.04,0.0889,0.5333,True
9,Claude-Opus-4.7,gpt54nano,45,0.1556,0.0589,0.0967,0.0533,0.1456,0.3556,0.6222,True
10,Claude-Opus-4.7,haiku35,45,0.1556,0.8267,-0.6711,-0.7611,-0.5822,0.0222,0.0222,True
11,Claude-Opus-4.7,haiku45,45,0.1556,0.0311,0.1244,0.0677,0.1844,0.3556,0.6,True
12,Claude-Opus-4.7,sonnet37,45,0.1556,0.0733,0.0822,0.0233,0.1423,0.2667,0.5333,True
13,Claude-Opus-4.7,sonnet46,45,0.1556,0.0889,0.0667,0.0333,0.1078,0.3333,0.6444,True
14,DeepSeek-V4-Pro,GPT-5.5,45,0.3865,0.3811,0.0054,-0.0404,0.051,0.1778,0.6,False
15,DeepSeek-V4-Pro,Gemini-3.1-Pro,45,0.3865,0.4189,-0.0323,-0.0557,-0.0133,0.0889,0.5778,True
16,DeepSeek-V4-Pro,Grok-4,45,0.3865,0.3722,0.0143,-0.0324,0.0564,0.2889,0.4889,False
17,DeepSeek-V4-Pro,Llama-3.3-70B,45,0.3865,0.1567,0.2299,0.1056,0.3577,0.5111,0.2667,True
18,DeepSeek-V4-Pro,gpt41,45,0.3865,0.0778,0.3088,0.2056,0.4142,0.5333,0.4222,True
19,DeepSeek-V4-Pro,gpt41mini,45,0.3865,0.3811,0.0054,-0.1111,0.1132,0.4,0.1778,False
