,Claude-Opus-4.7,DeepSeek-V4-Pro,GPT-5.5,Gemini-3.1-Pro,Grok-4,Llama-3.3-70B,gpt41,gpt41mini,gpt41nano,gpt54mini,gpt54nano,haiku35,haiku45,sonnet37,sonnet46
Claude-Opus-4.7,,-0.231,-0.226,-0.263,-0.217,-0.001,0.078,-0.226,0.147,-0.096,0.097,-0.671,0.124,0.082,0.067
DeepSeek-V4-Pro,0.231,,0.005,-0.032,0.014,0.23,0.309,0.005,0.378,0.135,0.328,-0.44,0.355,0.313,0.298
GPT-5.5,0.226,-0.005,,-0.038,0.009,0.224,0.303,0.0,0.372,0.13,0.322,-0.446,0.35,0.308,0.292
Gemini-3.1-Pro,0.263,0.032,0.038,,0.047,0.262,0.341,0.038,0.41,0.168,0.36,-0.408,0.388,0.346,0.33
Grok-4,0.217,-0.014,-0.009,-0.047,,0.216,0.294,-0.009,0.363,0.121,0.313,-0.454,0.341,0.299,0.283
Llama-3.3-70B,0.001,-0.23,-0.224,-0.262,-0.216,,0.079,-0.224,0.148,-0.094,0.098,-0.67,0.126,0.083,0.068
gpt41,-0.078,-0.309,-0.303,-0.341,-0.294,-0.079,,-0.303,0.069,-0.173,0.019,-0.749,0.047,0.004,-0.011
gpt41mini,0.226,-0.005,-0.0,-0.038,0.009,0.224,0.303,,0.372,0.13,0.322,-0.446,0.35,0.308,0.292
gpt41nano,-0.147,-0.378,-0.372,-0.41,-0.363,-0.148,-0.069,-0.372,,-0.242,-0.05,-0.818,-0.022,-0.064,-0.08
gpt54mini,0.096,-0.135,-0.13,-0.168,-0.121,0.094,0.173,-0.13,0.242,,0.192,-0.576,0.22,0.178,0.162
gpt54nano,-0.097,-0.328,-0.322,-0.36,-0.313,-0.098,-0.019,-0.322,0.05,-0.192,,-0.768,0.028,-0.014,-0.03
haiku35,0.671,0.44,0.446,0.408,0.454,0.67,0.749,0.446,0.818,0.576,0.768,,0.796,0.753,0.738
haiku45,-0.124,-0.355,-0.35,-0.388,-0.341,-0.126,-0.047,-0.35,0.022,-0.22,-0.028,-0.796,,-0.042,-0.058
sonnet37,-0.082,-0.313,-0.308,-0.346,-0.299,-0.083,-0.004,-0.308,0.064,-0.178,0.014,-0.753,0.042,,-0.016
sonnet46,-0.067,-0.298,-0.292,-0.33,-0.283,-0.068,0.011,-0.292,0.08,-0.162,0.03,-0.738,0.058,0.016,
