,Claude-Opus-4.7,DeepSeek-V4-Pro,GPT-5.5,Gemini-3.1-Pro,Grok-4,Llama-3.3-70B,gpt41,gpt41mini,gpt41nano,gpt54mini,gpt54nano,haiku35,haiku45,sonnet37,sonnet46
Claude-Opus-4.7,,-0.123,0.0,-0.274,-0.171,0.011,0.164,0.216,0.365,0.134,0.089,0.196,0.196,-0.06,-0.084
DeepSeek-V4-Pro,0.123,,0.128,-0.15,-0.051,0.133,0.292,0.328,0.486,0.256,0.211,0.317,0.317,0.06,0.039
GPT-5.5,-0.0,-0.128,,-0.278,-0.182,0.006,0.163,0.248,0.363,0.128,0.083,0.189,0.189,-0.048,-0.089
Gemini-3.1-Pro,0.274,0.15,0.278,,0.097,0.283,0.444,0.448,0.637,0.406,0.361,0.467,0.467,0.204,0.189
Grok-4,0.171,0.051,0.182,-0.097,,0.182,0.339,0.328,0.531,0.301,0.261,0.364,0.364,0.117,0.091
Llama-3.3-70B,-0.011,-0.133,-0.006,-0.283,-0.182,,0.163,0.2,0.358,0.122,0.078,0.183,0.183,-0.06,-0.094
gpt41,-0.164,-0.292,-0.163,-0.444,-0.339,-0.163,,0.121,0.198,-0.039,-0.079,0.022,0.022,-0.224,-0.253
gpt41mini,-0.216,-0.328,-0.248,-0.448,-0.328,-0.2,-0.121,,0.097,-0.08,-0.144,-0.048,-0.032,-0.313,-0.304
gpt41nano,-0.365,-0.486,-0.363,-0.637,-0.531,-0.358,-0.198,-0.097,,-0.235,-0.279,-0.173,-0.173,-0.431,-0.453
gpt54mini,-0.134,-0.256,-0.128,-0.406,-0.301,-0.122,0.039,0.08,0.235,,-0.044,0.061,0.061,-0.186,-0.217
gpt54nano,-0.089,-0.211,-0.083,-0.361,-0.261,-0.078,0.079,0.144,0.279,0.044,,0.106,0.106,-0.144,-0.172
haiku35,-0.196,-0.317,-0.189,-0.467,-0.364,-0.183,-0.022,0.048,0.173,-0.061,-0.106,,0.0,-0.251,-0.278
haiku45,-0.196,-0.317,-0.189,-0.467,-0.364,-0.183,-0.022,0.032,0.173,-0.061,-0.106,-0.0,,-0.251,-0.278
sonnet37,0.06,-0.06,0.048,-0.204,-0.117,0.06,0.224,0.313,0.431,0.186,0.144,0.251,0.251,,-0.036
sonnet46,0.084,-0.039,0.089,-0.189,-0.091,0.094,0.253,0.304,0.453,0.217,0.172,0.278,0.278,0.036,
