,Claude-Opus-4.7,DeepSeek-V4-Pro,GPT-5.5,Gemini-3.1-Pro,Grok-4,Llama-3.3-70B,gpt41,gpt41nano,gpt54mini,gpt54nano
Claude-Opus-4.7,,0.035,-0.035,0.022,0.051,0.12,0.088,0.118,0.045,0.091
DeepSeek-V4-Pro,-0.035,,-0.07,-0.013,0.016,0.086,0.077,0.074,0.01,0.057
GPT-5.5,0.035,0.07,,0.057,0.086,0.155,0.165,0.131,0.08,0.126
Gemini-3.1-Pro,-0.022,0.013,-0.057,,0.029,0.099,0.067,0.095,0.023,0.07
Grok-4,-0.051,-0.016,-0.086,-0.029,,0.07,0.015,0.078,-0.006,0.041
Llama-3.3-70B,-0.12,-0.086,-0.155,-0.099,-0.07,,-0.01,-0.011,-0.075,-0.029
gpt41,-0.088,-0.077,-0.165,-0.067,-0.015,0.01,,,-0.026,-0.005
gpt41nano,-0.118,-0.074,-0.131,-0.095,-0.078,0.011,,,-0.078,-0.017
gpt54mini,-0.045,-0.01,-0.08,-0.023,0.006,0.075,0.026,0.078,,0.046
gpt54nano,-0.091,-0.057,-0.126,-0.07,-0.041,0.029,0.005,0.017,-0.046,
