,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
0,Claude-Opus-4.7,DeepSeek-V4-Pro,225,0.16,0.2756,-0.1156,-0.16,-0.0756,0.0044,0.8756,True
1,Claude-Opus-4.7,GPT-5.5,225,0.16,0.1333,0.0267,-0.0222,0.08,0.0933,0.84,False
2,Claude-Opus-4.7,Gemini-3.1-Pro,225,0.16,0.3511,-0.1911,-0.2444,-0.1422,0.0,0.8089,True
3,Claude-Opus-4.7,Grok-4,225,0.16,0.2,-0.04,-0.0756,-0.0044,0.0133,0.9333,True
4,Claude-Opus-4.7,Llama-3.3-70B,225,0.16,0.36,-0.2,-0.2578,-0.1467,0.0044,0.7911,True
5,Claude-Opus-4.7,gpt41,225,0.16,0.1644,-0.0044,-0.0356,0.0223,0.0222,0.9511,False
6,Claude-Opus-4.7,gpt41mini,225,0.16,0.2,-0.04,-0.08,0.0,0.0311,0.8978,False
7,Claude-Opus-4.7,gpt41nano,225,0.16,0.3111,-0.1511,-0.2134,-0.0843,0.0711,0.7067,True
8,Claude-Opus-4.7,gpt54mini,225,0.16,0.1733,-0.0133,-0.0622,0.0356,0.0667,0.8533,False
9,Claude-Opus-4.7,gpt54nano,225,0.16,0.1422,0.0178,-0.0222,0.0578,0.0578,0.9022,False
10,Claude-Opus-4.7,haiku35,225,0.16,0.4044,-0.2444,-0.3022,-0.1867,0.0044,0.7467,True
11,Claude-Opus-4.7,haiku45,225,0.16,0.2044,-0.0444,-0.0933,0.0044,0.0444,0.8667,False
12,Claude-Opus-4.7,sonnet37,225,0.16,0.3644,-0.2044,-0.2578,-0.1511,0.0044,0.7867,True
13,Claude-Opus-4.7,sonnet46,225,0.16,0.3422,-0.1822,-0.2311,-0.1333,0.0089,0.8,True
14,DeepSeek-V4-Pro,GPT-5.5,225,0.2756,0.1333,0.1422,0.0756,0.2134,0.2089,0.7244,True
15,DeepSeek-V4-Pro,Gemini-3.1-Pro,225,0.2756,0.3511,-0.0756,-0.12,-0.0311,0.0222,0.88,True
16,DeepSeek-V4-Pro,Grok-4,225,0.2756,0.2,0.0756,0.0356,0.12,0.0978,0.88,True
17,DeepSeek-V4-Pro,Llama-3.3-70B,225,0.2756,0.36,-0.0844,-0.1333,-0.0443,0.0222,0.8711,True
18,DeepSeek-V4-Pro,gpt41,225,0.2756,0.1644,0.1111,0.0667,0.16,0.1244,0.8622,True
19,DeepSeek-V4-Pro,gpt41mini,225,0.2756,0.2,0.0756,0.0222,0.1289,0.1156,0.8444,True
20,DeepSeek-V4-Pro,gpt41nano,225,0.2756,0.3111,-0.0356,-0.1111,0.0444,0.1556,0.6533,False
21,DeepSeek-V4-Pro,gpt54mini,225,0.2756,0.1733,0.1022,0.04,0.169,0.1733,0.7556,True
22,DeepSeek-V4-Pro,gpt54nano,225,0.2756,0.1422,0.1333,0.0799,0.1867,0.1689,0.7956,True
23,DeepSeek-V4-Pro,haiku35,225,0.2756,0.4044,-0.1289,-0.1778,-0.0799,0.0178,0.8356,True
24,DeepSeek-V4-Pro,haiku45,225,0.2756,0.2044,0.0711,0.0222,0.12,0.1067,0.8578,True
25,DeepSeek-V4-Pro,sonnet37,225,0.2756,0.3644,-0.0889,-0.1333,-0.04,0.0178,0.8756,True
26,DeepSeek-V4-Pro,sonnet46,225,0.2756,0.3422,-0.0667,-0.1111,-0.0222,0.0356,0.8622,True
27,GPT-5.5,Gemini-3.1-Pro,225,0.1333,0.3511,-0.2178,-0.2889,-0.1556,0.0489,0.6844,True
28,GPT-5.5,Grok-4,225,0.1333,0.2,-0.0667,-0.1244,-0.0132,0.0667,0.8,True
29,GPT-5.5,Llama-3.3-70B,225,0.1333,0.36,-0.2267,-0.2978,-0.1511,0.0622,0.6489,True
30,GPT-5.5,gpt41,225,0.1333,0.1644,-0.0311,-0.0844,0.0267,0.0667,0.8356,False
31,GPT-5.5,gpt41mini,225,0.1333,0.2,-0.0667,-0.12,-0.0133,0.0667,0.8,True
32,GPT-5.5,gpt41nano,225,0.1333,0.3111,-0.1778,-0.2356,-0.12,0.0267,0.7689,True
