,Claude-Opus-4.7,DeepSeek-V4-Pro,GPT-5.5,Gemini-3.1-Pro,Grok-4,Llama-3.3-70B,gpt41,gpt41mini,gpt41nano,gpt54mini,gpt54nano,haiku35,haiku45,sonnet37,sonnet46
Claude-Opus-4.7,,-0.116,0.027,-0.191,-0.04,-0.2,-0.004,-0.04,-0.151,-0.013,0.018,-0.244,-0.044,-0.204,-0.182
DeepSeek-V4-Pro,0.116,,0.142,-0.076,0.076,-0.084,0.111,0.076,-0.036,0.102,0.133,-0.129,0.071,-0.089,-0.067
GPT-5.5,-0.027,-0.142,,-0.218,-0.067,-0.227,-0.031,-0.067,-0.178,-0.04,-0.009,-0.271,-0.071,-0.231,-0.209
Gemini-3.1-Pro,0.191,0.076,0.218,,0.151,-0.009,0.187,0.151,0.04,0.178,0.209,-0.053,0.147,-0.013,0.009
Grok-4,0.04,-0.076,0.067,-0.151,,-0.16,0.036,0.0,-0.111,0.027,0.058,-0.204,-0.004,-0.164,-0.142
Llama-3.3-70B,0.2,0.084,0.227,0.009,0.16,,0.196,0.16,0.049,0.187,0.218,-0.044,0.156,-0.004,0.018
gpt41,0.004,-0.111,0.031,-0.187,-0.036,-0.196,,-0.036,-0.147,-0.009,0.022,-0.24,-0.04,-0.2,-0.178
gpt41mini,0.04,-0.076,0.067,-0.151,-0.0,-0.16,0.036,,-0.111,0.027,0.058,-0.204,-0.004,-0.164,-0.142
gpt41nano,0.151,0.036,0.178,-0.04,0.111,-0.049,0.147,0.111,,0.138,0.169,-0.093,0.107,-0.053,-0.031
gpt54mini,0.013,-0.102,0.04,-0.178,-0.027,-0.187,0.009,-0.027,-0.138,,0.031,-0.231,-0.031,-0.191,-0.169
gpt54nano,-0.018,-0.133,0.009,-0.209,-0.058,-0.218,-0.022,-0.058,-0.169,-0.031,,-0.262,-0.062,-0.222,-0.2
haiku35,0.244,0.129,0.271,0.053,0.204,0.044,0.24,0.204,0.093,0.231,0.262,,0.2,0.04,0.062
haiku45,0.044,-0.071,0.071,-0.147,0.004,-0.156,0.04,0.004,-0.107,0.031,0.062,-0.2,,-0.16,-0.138
sonnet37,0.204,0.089,0.231,0.013,0.164,0.004,0.2,0.164,0.053,0.191,0.222,-0.04,0.16,,0.022
sonnet46,0.182,0.067,0.209,-0.009,0.142,-0.018,0.178,0.142,0.031,0.169,0.2,-0.062,0.138,-0.022,
