,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
0,Claude-Opus-4.7,DeepSeek-V4-Pro,45,0.5556,0.6222,-0.0667,-0.2,0.0667,0.2222,0.4444,False
1,Claude-Opus-4.7,GPT-5.5,45,0.5556,0.6667,-0.1111,-0.2222,0.0,0.1333,0.5778,False
2,Claude-Opus-4.7,Gemini-3.1-Pro,45,0.5556,0.7556,-0.2,-0.3222,-0.0778,0.1111,0.5111,True
3,Claude-Opus-4.7,Grok-4,45,0.5556,0.6667,-0.1111,-0.2333,-0.0111,0.1333,0.5556,True
4,Claude-Opus-4.7,Llama-3.3-70B,45,0.5556,0.4556,0.1,-0.0556,0.2556,0.3778,0.3111,False
5,Claude-Opus-4.7,gpt41,45,0.5556,0.4778,0.0778,-0.0556,0.2111,0.3556,0.4444,False
6,Claude-Opus-4.7,gpt41mini,45,0.5556,0.3111,0.2444,0.1333,0.3669,0.4,0.5333,True
7,Claude-Opus-4.7,gpt41nano,45,0.5556,0.1889,0.3667,0.2222,0.5,0.5556,0.3556,True
8,Claude-Opus-4.7,gpt54mini,45,0.5556,0.7444,-0.1889,-0.3,-0.0778,0.0667,0.5778,True
9,Claude-Opus-4.7,gpt54nano,45,0.5556,0.7222,-0.1667,-0.2889,-0.0556,0.0889,0.6,True
10,DeepSeek-V4-Pro,GPT-5.5,45,0.6222,0.6667,-0.0444,-0.1781,0.0889,0.2,0.5111,False
11,DeepSeek-V4-Pro,Gemini-3.1-Pro,45,0.6222,0.7556,-0.1333,-0.2669,0.0,0.1556,0.4889,False
12,DeepSeek-V4-Pro,Grok-4,45,0.6222,0.6667,-0.0444,-0.1778,0.0778,0.2,0.5333,False
13,DeepSeek-V4-Pro,Llama-3.3-70B,45,0.6222,0.4556,0.1667,0.0333,0.3,0.3778,0.4889,True
14,DeepSeek-V4-Pro,gpt41,45,0.6222,0.4778,0.1444,0.0222,0.2778,0.4,0.4222,True
15,DeepSeek-V4-Pro,gpt41mini,45,0.6222,0.3111,0.3111,0.2111,0.4111,0.5333,0.4444,True
16,DeepSeek-V4-Pro,gpt41nano,45,0.6222,0.1889,0.4333,0.2889,0.5667,0.6889,0.2,True
17,DeepSeek-V4-Pro,gpt54mini,45,0.6222,0.7444,-0.1222,-0.2447,0.0111,0.1333,0.5333,False
18,DeepSeek-V4-Pro,gpt54nano,45,0.6222,0.7222,-0.1,-0.2444,0.0333,0.2,0.4444,False
19,GPT-5.5,Gemini-3.1-Pro,45,0.6667,0.7556,-0.0889,-0.1892,0.0222,0.0667,0.7556,False
20,GPT-5.5,Grok-4,45,0.6667,0.6667,0.0,-0.1111,0.1111,0.1778,0.6667,False
21,GPT-5.5,Llama-3.3-70B,45,0.6667,0.4556,0.2111,0.0333,0.3889,0.4444,0.3556,True
22,GPT-5.5,gpt41,45,0.6667,0.4778,0.1889,0.0556,0.3222,0.4,0.4889,True
23,GPT-5.5,gpt41mini,45,0.6667,0.3111,0.3556,0.2111,0.5,0.4889,0.4444,True
24,GPT-5.5,gpt41nano,45,0.6667,0.1889,0.4778,0.3,0.6333,0.6222,0.2889,True
25,GPT-5.5,gpt54mini,45,0.6667,0.7444,-0.0778,-0.1778,0.0225,0.0667,0.6889,False
26,GPT-5.5,gpt54nano,45,0.6667,0.7222,-0.0556,-0.1556,0.0333,0.1111,0.7111,False
27,Gemini-3.1-Pro,Grok-4,45,0.7556,0.6667,0.0889,-0.0333,0.2114,0.2444,0.6444,False
28,Gemini-3.1-Pro,Llama-3.3-70B,45,0.7556,0.4556,0.3,0.1219,0.4667,0.5333,0.3111,True
29,Gemini-3.1-Pro,gpt41,45,0.7556,0.4778,0.2778,0.1333,0.4111,0.5111,0.3778,True
30,Gemini-3.1-Pro,gpt41mini,45,0.7556,0.3111,0.4444,0.3111,0.5889,0.5778,0.3778,True
31,Gemini-3.1-Pro,gpt41nano,45,0.7556,0.1889,0.5667,0.4222,0.6889,0.7333,0.2222,True
32,Gemini-3.1-Pro,gpt54mini,45,0.7556,0.7444,0.0111,-0.0556,0.1,0.1111,0.7778,False
33,Gemini-3.1-Pro,gpt54nano,45,0.7556,0.7222,0.0333,-0.0556,0.1333,0.1778,0.6667,False
34,Grok-4,Llama-3.3-70B,45,0.6667,0.4556,0.2111,0.0664,0.3556,0.4222,0.3778,True
35,Grok-4,gpt41,45,0.6667,0.4778,0.1889,0.0444,0.3444,0.4222,0.4222,True
36,Grok-4,gpt41mini,45,0.6667,0.3111,0.3556,0.2222,0.5,0.5111,0.4222,True
37,Grok-4,gpt41nano,45,0.6667,0.1889,0.4778,0.3333,0.6,0.6667,0.2667,True
38,Grok-4,gpt54mini,45,0.6667,0.7444,-0.0778,-0.1667,0.0333,0.0889,0.6889,False
39,Grok-4,gpt54nano,45,0.6667,0.7222,-0.0556,-0.1556,0.0444,0.1333,0.6667,False
40,Llama-3.3-70B,gpt41,45,0.4556,0.4778,-0.0222,-0.1556,0.1114,0.2,0.4889,False
41,Llama-3.3-70B,gpt41mini,45,0.4556,0.3111,0.1444,0.0442,0.2447,0.3111,0.6,True
42,Llama-3.3-70B,gpt41nano,45,0.4556,0.1889,0.2667,0.1111,0.4222,0.4222,0.4444,True
43,Llama-3.3-70B,gpt54mini,45,0.4556,0.7444,-0.2889,-0.4444,-0.1111,0.1778,0.3333,True
44,Llama-3.3-70B,gpt54nano,45,0.4556,0.7222,-0.2667,-0.4556,-0.0778,0.2,0.3333,True
45,gpt41,gpt41mini,45,0.4778,0.3111,0.1667,0.0556,0.2778,0.4222,0.4444,True
46,gpt41,gpt41nano,45,0.4778,0.1889,0.2889,0.1444,0.4444,0.5111,0.3333,True
47,gpt41,gpt54mini,45,0.4778,0.7444,-0.2667,-0.3892,-0.1556,0.0889,0.4,True
48,gpt41,gpt54nano,45,0.4778,0.7222,-0.2444,-0.3889,-0.1111,0.1556,0.3333,True
49,gpt41mini,gpt41nano,45,0.3111,0.1889,0.1222,-0.0556,0.2778,0.3333,0.4222,False
50,gpt41mini,gpt54mini,45,0.3111,0.7444,-0.4333,-0.5667,-0.3,0.0444,0.3333,True
51,gpt41mini,gpt54nano,45,0.3111,0.7222,-0.4111,-0.5556,-0.2667,0.0667,0.3778,True
52,gpt41nano,gpt54mini,45,0.1889,0.7444,-0.5556,-0.6778,-0.4444,0.0222,0.2667,True
53,gpt41nano,gpt54nano,45,0.1889,0.7222,-0.5333,-0.6778,-0.3778,0.0667,0.2667,True
54,gpt54mini,gpt54nano,45,0.7444,0.7222,0.0222,-0.0781,0.1225,0.1778,0.6667,False
