,Claude-Opus-4.7,DeepSeek-V4-Pro,GPT-5.5,Gemini-3.1-Pro,Grok-4,Llama-3.3-70B,gpt41,gpt41mini,gpt41nano,gpt54mini,gpt54nano
Claude-Opus-4.7,,-0.067,-0.111,-0.2,-0.111,0.1,0.078,0.244,0.367,-0.189,-0.167
DeepSeek-V4-Pro,0.067,,-0.044,-0.133,-0.044,0.167,0.144,0.311,0.433,-0.122,-0.1
GPT-5.5,0.111,0.044,,-0.089,0.0,0.211,0.189,0.356,0.478,-0.078,-0.056
Gemini-3.1-Pro,0.2,0.133,0.089,,0.089,0.3,0.278,0.444,0.567,0.011,0.033
Grok-4,0.111,0.044,-0.0,-0.089,,0.211,0.189,0.356,0.478,-0.078,-0.056
Llama-3.3-70B,-0.1,-0.167,-0.211,-0.3,-0.211,,-0.022,0.144,0.267,-0.289,-0.267
gpt41,-0.078,-0.144,-0.189,-0.278,-0.189,0.022,,0.167,0.289,-0.267,-0.244
gpt41mini,-0.244,-0.311,-0.356,-0.444,-0.356,-0.144,-0.167,,0.122,-0.433,-0.411
gpt41nano,-0.367,-0.433,-0.478,-0.567,-0.478,-0.267,-0.289,-0.122,,-0.556,-0.533
gpt54mini,0.189,0.122,0.078,-0.011,0.078,0.289,0.267,0.433,0.556,,0.022
gpt54nano,0.167,0.1,0.056,-0.033,0.056,0.267,0.244,0.411,0.533,-0.022,
