,family,task,n_models,models,slope_per_size_step,rate_smallest,rate_largest,delta_largest_minus_smallest
0,OpenAI gpt41,bargaining,3,"gpt41nano,gpt41mini,gpt41",0.0344,0.0089,0.0778,0.0689
1,OpenAI gpt41,village,3,"gpt41nano,gpt41mini,gpt41",0.1394,0.1932,0.4719,0.2787
2,OpenAI gpt41,committee,3,"gpt41nano,gpt41mini,gpt41",0.0962,0.2626,0.4551,0.1925
3,OpenAI gpt41,debate,2,"gpt41nano,gpt41",0.0041,0.1547,0.1629,0.0083
4,OpenAI gpt41,sales,3,"gpt41nano,gpt41mini,gpt41",-0.0733,0.3111,0.1644,-0.1467
5,OpenAI gpt54,bargaining,2,"gpt54nano,gpt54mini",0.1922,0.0589,0.2511,0.1922
6,OpenAI gpt54,village,2,"gpt54nano,gpt54mini",0.0239,0.7176,0.7416,0.0239
7,OpenAI gpt54,committee,2,"gpt54nano,gpt54mini",-0.0444,0.5389,0.4944,-0.0444
8,OpenAI gpt54,debate,2,"gpt54nano,gpt54mini",0.0464,0.1754,0.2217,0.0464
9,OpenAI gpt54,sales,2,"gpt54nano,gpt54mini",0.0311,0.1422,0.1733,0.0311
10,Anthropic,bargaining,5,"haiku35,haiku45,sonnet37,sonnet46,Claude-Opus-4.7",-0.1668,0.8267,0.1556,-0.6711
11,Anthropic,committee,5,"haiku35,haiku45,sonnet37,sonnet46,Claude-Opus-4.7",0.1222,0.4333,0.6257,0.1924
12,Anthropic,sales,5,"haiku35,haiku45,sonnet37,sonnet46,Claude-Opus-4.7",-0.0549,0.4044,0.16,-0.2444
