task,frame,n,any_refusal_rate,sample_failed_rate
bargaining,minimal,1080,0.08055555555555556,0.0
bargaining,permissive,1080,0.12407407407407407,0.0
bargaining,pro_social,1080,0.06851851851851852,0.0
bargaining,prohibitive,1080,0.03888888888888889,0.0
bargaining,selfish,1080,0.11018518518518519,0.0
committee,minimal,216,0.08333333333333333,0.0
committee,permissive,216,0.125,0.0
committee,pro_social,216,0.08333333333333333,0.0
committee,prohibitive,216,0.08796296296296297,0.0
committee,selfish,216,0.10185185185185185,0.0
debate,minimal,828,0.3357487922705314,0.0
debate,permissive,828,0.3285024154589372,0.0
debate,pro_social,828,0.322463768115942,0.0
debate,prohibitive,828,0.3719806763285024,0.0
debate,selfish,828,0.3466183574879227,0.0
inbox,minimal,216,0.0,0.0
inbox,permissive,216,0.0,0.0
inbox,pro_social,216,0.0,0.0
inbox,prohibitive,216,0.0,0.0
inbox,selfish,216,0.0,0.0
sales,minimal,270,0.06296296296296296,0.0
sales,permissive,270,0.040740740740740744,0.0
sales,pro_social,270,0.08148148148148149,0.0
sales,prohibitive,270,0.12222222222222222,0.0
sales,selfish,270,0.05185185185185185,0.0
village,minimal,108,0.26851851851851855,0.0
village,permissive,108,0.32407407407407407,0.0
village,pro_social,108,0.14814814814814814,0.0
village,prohibitive,108,0.1574074074074074,0.0
village,selfish,108,0.12037037037037036,0.0
