task,model,rate_none,rate_high,delta,ci_lo,ci_hi,n_none,n_high
bargaining,Claude-Opus-4.7,0.0033333333333333335,0.42333333333333334,0.42,0.36333333333333334,0.47333333333333333,300,300
bargaining,GPT-5.5,0.0033333333333333335,0.72,0.7166666666666667,0.6633333333333333,0.7666666666666667,300,300
bargaining,Gemini-3.1-Pro,0.01,0.8,0.79,0.7433333333333333,0.8367499999999995,300,300
bargaining,Grok-4,0.0033333333333333335,0.6366666666666667,0.6333333333333334,0.5766666666666667,0.6866666666666666,300,300
bargaining,Llama-3.3-70B,0.14333333333333334,0.18,0.03666666666666665,-0.023333333333333317,0.09666666666666665,300,300
bargaining,DeepSeek-V4-Pro,0.0,0.7591973244147158,0.7591973244147158,0.7090301003344481,0.8060200668896321,300,299
debate,Claude-Opus-4.7,0.27391304347826084,0.2608695652173913,-0.013043478260869545,-0.09565217391304345,0.06521739130434784,230,230
debate,GPT-5.5,0.28695652173913044,0.3217391304347826,0.03478260869565214,-0.04358695652173915,0.12173913043478257,230,230
debate,Gemini-3.1-Pro,0.21739130434782608,0.23478260869565218,0.017391304347826098,-0.05652173913043479,0.09565217391304345,230,230
debate,Grok-4,0.2,0.20869565217391303,0.008695652173913021,-0.06521739130434781,0.08260869565217394,230,230
debate,Llama-3.3-70B,0.11739130434782609,0.16521739130434782,0.04782608695652173,-0.017391304347826098,0.11304347826086956,230,230
debate,DeepSeek-V4-Pro,0.20434782608695654,0.24782608695652175,0.043478260869565216,-0.03478260869565217,0.1217391304347826,230,230
village,Claude-Opus-4.7,0.5,0.6333333333333333,0.1333333333333333,-0.1333333333333333,0.3666666666666667,30,30
village,GPT-5.5,0.5666666666666667,0.8,0.2333333333333334,0.0,0.4666666666666667,30,30
village,Gemini-3.1-Pro,0.6333333333333333,0.8666666666666667,0.2333333333333334,0.033333333333333326,0.4666666666666667,30,30
village,Grok-4,0.4666666666666667,0.8666666666666667,0.4,0.16666666666666674,0.6000000000000001,30,30
village,Llama-3.3-70B,0.42857142857142855,0.3793103448275862,-0.04926108374384236,-0.30049261083743845,0.19950738916256158,28,29
village,DeepSeek-V4-Pro,0.5172413793103449,0.6153846153846154,0.09814323607427056,-0.15517241379310343,0.3594164456233422,29,26
sales,Claude-Opus-4.7,0.16,0.14666666666666667,-0.013333333333333336,-0.12000000000000001,0.10666666666666666,75,75
sales,GPT-5.5,0.12,0.13333333333333333,0.013333333333333336,-0.09333333333333334,0.12,75,75
sales,Gemini-3.1-Pro,0.30666666666666664,0.4,0.09333333333333338,-0.053666666666666654,0.24,75,75
sales,Grok-4,0.18666666666666668,0.21333333333333335,0.026666666666666672,-0.09333333333333335,0.14666666666666667,75,75
sales,Llama-3.3-70B,0.30666666666666664,0.4,0.09333333333333338,-0.053333333333333344,0.25333333333333335,75,75
sales,DeepSeek-V4-Pro,0.21333333333333335,0.32,0.10666666666666666,-0.027000000000000014,0.2533333333333333,75,75
committee,Claude-Opus-4.7,0.5932203389830508,0.6666666666666666,0.07344632768361581,-0.09585451977401126,0.2418079096045197,59,60
committee,GPT-5.5,0.5,0.7666666666666667,0.2666666666666667,0.09999999999999998,0.4333333333333333,60,60
committee,Gemini-3.1-Pro,0.8833333333333333,0.9333333333333333,0.050000000000000044,-0.04999999999999993,0.15000000000000002,60,60
committee,Grok-4,0.7457627118644068,0.847457627118644,0.10169491525423724,-0.05084745762711862,0.2542372881355932,59,59
committee,Llama-3.3-70B,0.5833333333333334,0.6333333333333333,0.04999999999999993,-0.1166666666666667,0.23333333333333328,60,60
committee,DeepSeek-V4-Pro,0.6666666666666666,0.85,0.18333333333333335,0.033333333333333326,0.33333333333333326,60,60
