model,frame,incentive,difficulty,n_cur,n_ref,mean_cur,mean_ref,diff_mean,pooled_sd,cohens_d,saturated
claude,pro_social,none,low,4,4,5.438,4.333,1.104,1.849,0.597,N
claude,pro_social,none,medium,2,3,2.000,0.000,2.000,0.540,saturated,Y
claude,pro_social,none,high,5,5,-3.600,-7.700,4.100,2.249,1.823,N
claude,pro_social,moderate,low,4,4,6.104,4.750,1.354,1.822,0.743,N
claude,pro_social,moderate,medium,3,3,2.333,0.583,1.750,0.604,2.898,N
claude,pro_social,moderate,high,5,5,-2.850,-7.817,4.967,1.958,2.536,N
claude,pro_social,high,low,4,4,5.917,4.833,1.083,1.747,0.620,N
claude,pro_social,high,medium,3,3,3.500,0.417,3.083,0.714,4.316,N
claude,pro_social,high,high,5,5,-1.500,-7.517,6.017,2.403,2.504,N
claude,minimal,none,low,4,4,5.583,4.333,1.250,1.830,0.683,N
claude,minimal,none,medium,3,3,2.500,0.000,2.500,0.935,2.673,N
claude,minimal,none,high,5,5,-1.783,-7.700,5.917,2.045,2.893,N
claude,minimal,moderate,low,4,4,6.354,4.750,1.604,1.704,0.941,N
claude,minimal,moderate,medium,3,3,3.333,0.583,2.750,0.700,3.930,N
claude,minimal,moderate,high,5,5,-0.600,-7.817,7.217,1.777,4.060,N
claude,minimal,high,low,4,4,6.917,4.833,2.083,1.679,1.241,N
claude,minimal,high,medium,3,3,3.583,0.417,3.167,0.604,saturated,Y
claude,minimal,high,high,5,5,1.400,-7.517,8.917,2.136,4.174,N
claude,selfish,none,low,4,4,5.583,4.333,1.250,1.819,0.687,N
claude,selfish,none,medium,3,3,2.500,0.000,2.500,0.661,3.780,N
claude,selfish,none,high,5,5,-2.017,-7.700,5.683,2.088,2.721,N
claude,selfish,moderate,low,4,4,5.833,4.750,1.083,1.903,0.569,N
claude,selfish,moderate,medium,3,3,2.500,0.583,1.917,0.645,2.969,N
claude,selfish,moderate,high,5,5,-1.417,-7.817,6.400,1.959,3.266,N
claude,selfish,high,low,4,4,6.104,4.833,1.271,1.521,0.836,N
claude,selfish,high,medium,3,3,2.750,0.417,2.333,0.757,3.083,N
claude,selfish,high,high,5,5,-0.650,-7.517,6.867,2.200,3.122,N
claude,permissive,none,low,4,4,7.083,4.333,2.750,1.898,1.449,N
claude,permissive,none,medium,3,3,4.167,0.000,4.167,1.005,4.145,N
claude,permissive,none,high,5,5,1.750,-7.700,9.450,1.893,4.991,N
claude,permissive,moderate,low,4,4,7.083,4.750,2.333,1.822,1.281,N
claude,permissive,moderate,medium,3,3,3.917,0.583,3.333,0.629,5.298,N
claude,permissive,moderate,high,5,5,1.950,-7.817,9.767,2.042,4.783,N
claude,permissive,high,low,4,4,7.312,4.833,2.479,1.573,1.576,N
claude,permissive,high,medium,3,3,4.333,0.417,3.917,0.913,4.290,N
claude,permissive,high,high,5,5,2.533,-7.517,10.050,2.305,4.361,N
deepseek,pro_social,none,low,3,4,5.861,3.958,1.903,2.244,0.848,N
deepseek,pro_social,none,medium,2,3,1.250,0.167,1.083,0.965,1.123,N
deepseek,pro_social,none,high,5,5,-2.817,-4.033,1.217,1.263,0.963,N
deepseek,pro_social,moderate,low,4,4,5.229,4.292,0.938,2.569,0.365,N
deepseek,pro_social,moderate,medium,3,2,2.750,0.875,1.875,1.279,1.466,N
deepseek,pro_social,moderate,high,5,4,-0.683,-5.521,4.838,2.513,1.925,N
deepseek,pro_social,high,low,4,4,6.188,5.708,0.479,1.749,0.274,N
deepseek,pro_social,high,medium,2,3,3.625,0.417,3.208,0.437,7.342,N
deepseek,pro_social,high,high,3,5,1.278,-5.317,6.594,2.178,3.027,N
deepseek,minimal,none,low,3,4,4.361,3.958,0.403,2.617,0.154,N
deepseek,minimal,none,medium,2,3,1.000,0.167,0.833,0.965,0.864,N
deepseek,minimal,none,high,3,5,-3.722,-4.033,0.311,1.830,0.170,N
